"dept","totenroll","classnum","totalend","endn","personend","pn"
"REES",18,35,2,111.111111111111,1,55.5555555555556
"RELIGST",502,241,18,35.8565737051793,14,27.8884462151394
"SBIO",17,11,1,58.8235294117647,1,58.8235294117647
"SIW",116,44,6,51.7241379310345,2,17.2413793103448
"SLAVLANG",111,39,3,27.027027027027,3,27.027027027027
"SLE",397,5,10,25.1889168765743,4,10.0755667506297
"SOC",994,226,21,21.1267605633803,15,15.0905432595573
"SPANLANG",484,46,42,86.7768595041322,28,57.8512396694215
"SPECLANG",438,165,5,11.4155251141553,3,6.84931506849315
"STATS",2513,118,197,78.3923597294071,99,39.3951452447274
"STEMREM",108,15,1,9.25925925925926,1,9.25925925925926
"STRAMGT",2884,75,17,5.89459084604716,11,3.81414701803051
"STS",282,21,11,39.0070921985816,7,24.822695035461
"SURG",966,63,28,28.9855072463768,12,12.4223602484472
"SYMSYS",252,28,9,35.7142857142857,7,27.7777777777778
"TAPS",1300,422,41,31.5384615384615,28,21.5384615384615
"THINK",2830,39,22,7.77385159010601,16,5.65371024734982
"UAR",286,6,1,3.4965034965035,1,3.4965034965035
"URBANST",344,56,54,156.976744186047,46,133.720930232558
"WELLNESS",367,21,23,62.6702997275204,12,32.6975476839237
