grade_distributions.A-,code,grade_distributions.NC,grade_distributions.A+,grade_distributions.B,grade_distributions.C+,grade_distributions.D-,grade_distributions.A,grade_distributions.F,grade_distributions.D,grade_distributions.C-,grade_distributions.CR,grade_distributions.B+,grade_distributions.C,grade_distributions.D+,grade_distributions.B-
0,AFRICAST 302,0,0,0,0,0,1,0,0,0,1,0,0,0,0
,AMELANG 15T,,,,,,,,,,,,,,
,AMELANG 51A,,,,,,,,,,,,,,
,AMELANG 70A,,,,,,,,,,,,,,
,AMELANG 70B,,,,,,,,,,,,,,
,AMELANG 84A,,,,,,,,,,,,,,
,AMELANG 84B,,,,,,,,,,,,,,
,AMELANG 99,,,,,,,,,,,,,,
0,AMELANG 100A,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,AMELANG 100B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,AMELANG 100C,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,AMELANG 101A,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,AMELANG 101B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,AMELANG 101C,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,AMELANG 103A,,,,,,,,,,,,,,
,AMELANG 103B,,,,,,,,,,,,,,
,AMELANG 103C,,,,,,,,,,,,,,
1,AMELANG 106A,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,AMELANG 106B,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,AMELANG 106C,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,AMELANG 107A,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,AMELANG 107B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,AMELANG 107C,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,AMELANG 108A,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,AMELANG 108B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,AMELANG 108C,0,0,0,0,0,4,0,0,0,0,0,0,0,0
,AMELANG 110A,,,,,,,,,,,,,,
,AMELANG 114A,,,,,,,,,,,,,,
,AMELANG 114B,,,,,,,,,,,,,,
0,AMELANG 115A,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,AMELANG 115B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,AMELANG 115C,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,AMELANG 126,0,1,0,0,0,6,0,0,0,0,1,0,0,0
0,AMELANG 128A,0,0,0,0,0,2,0,0,0,0,0,0,0,0
0,AMELANG 128B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,AMELANG 128C,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,AMELANG 129A,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,AMELANG 129B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,AMELANG 129C,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,AMELANG 130A,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,AMELANG 131A,,,,,,,,,,,,,,
,AMELANG 131B,,,,,,,,,,,,,,
,AMELANG 133B,,,,,,,,,,,,,,
,AMELANG 133C,,,,,,,,,,,,,,
0,AMELANG 134A,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,AMELANG 134B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,AMELANG 134C,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,AMELANG 135A,,,,,,,,,,,,,,
0,AMELANG 136A,0,1,0,0,0,0,0,0,0,3,0,0,0,0
0,AMELANG 136B,1,0,0,0,0,0,0,0,0,2,0,0,0,0
0,AMELANG 136C,0,0,0,0,0,0,0,0,0,2,0,0,0,0
0,AMELANG 137A,0,0,0,0,0,4,0,0,0,1,0,0,0,0
0,AMELANG 137B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,AMELANG 137C,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,AMELANG 140A,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,AMELANG 140B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,AMELANG 140C,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,AMELANG 141A,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,AMELANG 144A,0,1,0,0,0,1,0,0,0,14,0,0,0,0
1,AMELANG 144B,0,0,0,0,0,0,0,0,0,13,0,0,0,0
0,AMELANG 144C,0,0,0,0,0,0,0,0,0,13,0,0,0,0
1,AMELANG 145A,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1,AMELANG 145B,0,0,0,0,0,2,0,0,0,0,0,0,0,0
0,AMELANG 145C,0,0,0,0,0,2,0,0,0,0,0,0,0,0
0,AMELANG 146A,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,AMELANG 146B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,AMELANG 146C,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,AMELANG 153,,,,,,,,,,,,,,
0,AMELANG 153A,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,AMELANG 153B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,AMELANG 153C,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,AMELANG 154A,,,,,,,,,,,,,,
,AMELANG 154B,,,,,,,,,,,,,,
,AMELANG 154C,,,,,,,,,,,,,,
0,AMELANG 156A,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,AMELANG 156B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,AMELANG 156C,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,AMELANG 157A,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,AMELANG 157B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,AMELANG 157C,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,AMELANG 170A,,,,,,,,,,,,,,
,AMELANG 170B,,,,,,,,,,,,,,
,AMELANG 170C,,,,,,,,,,,,,,
,AMELANG 171,,,,,,,,,,,,,,
,AMELANG 175,,,,,,,,,,,,,,
,AMELANG 176,,,,,,,,,,,,,,
,AMELANG 177,,,,,,,,,,,,,,
0,AMELANG 180A,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,AMELANG 180B,,,,,,,,,,,,,,
,AMELANG 182A,,,,,,,,,,,,,,
,AMELANG 182B,,,,,,,,,,,,,,
,AMELANG 182C,,,,,,,,,,,,,,
,AMELANG 184A,,,,,,,,,,,,,,
,AMELANG 184B,,,,,,,,,,,,,,
,AMELANG 184C,,,,,,,,,,,,,,
0,AMELANG 185A,0,1,0,0,0,3,0,0,0,0,0,0,0,0
0,AMELANG 185B,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,AMELANG 185C,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,AMELANG 186A,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,AMELANG 186B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,AMELANG 186C,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,AMELANG 187A,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,AMELANG 187B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,AMELANG 187C,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,AMELANG 203A,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,AMELANG 203B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,AMELANG 206B,,,,,,,,,,,,,,
,AMELANG 206C,,,,,,,,,,,,,,
,AMELANG 216A,,,,,,,,,,,,,,
,AMELANG 216B,,,,,,,,,,,,,,
,AMELANG 216C,,,,,,,,,,,,,,
,AMELANG 250A,,,,,,,,,,,,,,
0,AMELANG 297,0,1,0,0,0,7,0,1,0,4,0,0,0,0
0,AMELANG 395,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,AMSTUD 1B,,,,,,,,,,,,,,
3,AMSTUD 2,0,0,1,0,0,0,0,0,0,1,1,0,0,0
,AMSTUD 15,,,,,,,,,,,,,,
,AMSTUD 25Q,,,,,,,,,,,,,,
,AMSTUD 32,,,,,,,,,,,,,,
,AMSTUD 50N,,,,,,,,,,,,,,
,AMSTUD 51Q,,,,,,,,,,,,,,
,AMSTUD 54N,,,,,,,,,,,,,,
,AMSTUD 63N,,,,,,,,,,,,,,
,AMSTUD 68N,,,,,,,,,,,,,,
,AMSTUD 91,,,,,,,,,,,,,,
0,AMSTUD 101,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,AMSTUD 103,,,,,,,,,,,,,,
,AMSTUD 105N,,,,,,,,,,,,,,
1,AMSTUD 107,0,0,0,0,0,3,0,0,0,0,1,0,0,0
0,AMSTUD 111,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,AMSTUD 114Q,0,0,0,0,0,2,0,0,0,0,1,0,0,0
1,AMSTUD 116,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,AMSTUD 120,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,AMSTUD 121,0,0,0,0,0,0,0,0,0,0,1,0,0,0
,AMSTUD 121L,,,,,,,,,,,,,,
1,AMSTUD 121X,0,1,0,0,0,1,0,0,0,0,0,0,0,0
,AMSTUD 121Z,,,,,,,,,,,,,,
,AMSTUD 123D,,,,,,,,,,,,,,
4,AMSTUD 123G,0,0,1,0,0,4,0,0,0,1,1,1,0,0
,AMSTUD 124A,,,,,,,,,,,,,,
0,AMSTUD 132,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,AMSTUD 135,,,,,,,,,,,,,,
0,AMSTUD 137,0,1,0,0,0,2,0,0,0,0,1,0,0,0
,AMSTUD 139B,,,,,,,,,,,,,,
18,AMSTUD 140,0,0,2,0,0,21,0,0,0,3,10,0,0,0
,AMSTUD 142,,,,,,,,,,,,,,
0,AMSTUD 143,0,0,0,0,0,0,0,0,0,0,1,0,0,0
,AMSTUD 145M,,,,,,,,,,,,,,
0,AMSTUD 146,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,AMSTUD 146C,0,1,0,0,0,3,0,0,0,1,1,0,0,0
,AMSTUD 147J,,,,,,,,,,,,,,
14,AMSTUD 150,0,1,4,0,0,17,0,0,0,1,5,0,0,0
5,AMSTUD 150A,0,0,0,0,0,6,0,0,0,2,4,0,0,0
5,AMSTUD 150B,0,0,1,0,0,4,0,0,0,0,5,0,0,0
0,AMSTUD 150C,0,1,1,0,0,0,0,0,0,0,1,0,0,0
,AMSTUD 150X,,,,,,,,,,,,,,
,AMSTUD 151H,,,,,,,,,,,,,,
,AMSTUD 152A,,,,,,,,,,,,,,
,AMSTUD 152C,,,,,,,,,,,,,,
1,AMSTUD 152G,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,AMSTUD 152K,,,,,,,,,,,,,,
0,AMSTUD 154,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,AMSTUD 154X,,,,,,,,,,,,,,
0,AMSTUD 156H,0,0,3,0,0,3,0,0,0,0,5,0,0,0
0,AMSTUD 157,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,AMSTUD 157X,,,,,,,,,,,,,,
,AMSTUD 159X,,,,,,,,,,,,,,
14,AMSTUD 160,0,1,3,0,0,29,1,0,0,1,8,0,0,1
1,AMSTUD 161,0,0,0,0,0,1,0,0,0,0,1,0,0,0
,AMSTUD 164C,,,,,,,,,,,,,,
0,AMSTUD 165,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,AMSTUD 166,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,AMSTUD 178,,,,,,,,,,,,,,
25,AMSTUD 179,3,1,11,2,0,23,0,0,0,6,17,0,0,2
0,AMSTUD 183,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,AMSTUD 185,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,AMSTUD 186,0,0,0,0,0,0,0,0,1,0,1,0,0,0
,AMSTUD 186A,,,,,,,,,,,,,,
0,AMSTUD 186B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,AMSTUD 195,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,AMSTUD 201,,,,,,,,,,,,,,
11,AMSTUD 214,0,0,5,0,0,15,2,0,0,1,8,0,0,0
,AMSTUD 226,,,,,,,,,,,,,,
,AMSTUD 226X,,,,,,,,,,,,,,
,AMSTUD 231X,,,,,,,,,,,,,,
0,AMSTUD 240A,0,0,0,0,0,2,0,0,0,0,0,0,0,0
,AMSTUD 244,,,,,,,,,,,,,,
0,AMSTUD 250,1,0,0,0,0,3,0,0,0,2,0,0,0,0
,AMSTUD 256,,,,,,,,,,,,,,
,AMSTUD 257,,,,,,,,,,,,,,
0,AMSTUD 258,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,AMSTUD 260,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,AMSTUD 261A,,,,,,,,,,,,,,
,AMSTUD 261E,,,,,,,,,,,,,,
,AMSTUD 262C,,,,,,,,,,,,,,
,AMSTUD 262D,,,,,,,,,,,,,,
0,AMSTUD 265,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,AMSTUD 267E,,,,,,,,,,,,,,
,AMSTUD 271,,,,,,,,,,,,,,
,AMSTUD 272E,,,,,,,,,,,,,,
,AMSTUD 275R,,,,,,,,,,,,,,
,AMSTUD 279X,,,,,,,,,,,,,,
,AMSTUD 281,,,,,,,,,,,,,,
2,ANES 70Q,0,2,0,0,0,8,0,0,0,13,1,0,0,0
0,ANES 199,0,24,0,0,0,9,3,0,0,7,0,0,0,0
0,ANES 202,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,ANES 204,,,,,,,,,,,,,,
,ANES 205,,,,,,,,,,,,,,
,ANES 206,,,,,,,,,,,,,,
0,ANES 207,0,0,0,0,0,0,0,0,0,3,0,0,0,0
0,ANES 215,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,ANES 243,,,,,,,,,,,,,,
0,ANES 280,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,ANES 299,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,ANES 370,0,0,0,0,0,0,0,0,0,0,0,0,0,0
